month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
2,0.030405405405405407,0.09090909090909091,0.5694444444444444,male,Secondary special education,Furniture,1,2,0.027500000000000004,Another,1,1,0
2,0.05067567567567568,0.2727272727272727,0.04166666666666663,male,Secondary education,Furniture,0,2,0.035,Married,3,1,0
2,0.005067567567567568,0.09090909090909091,0.18055555555555552,male,Secondary special education,Cell phones,1,2,0.0625,Another,1,1,1
2,0.025337837837837836,0.4545454545454545,0.19444444444444442,female,Secondary education,Cell phones,1,2,0.025000000000000005,Married,1,0,0
2,0.05912162162162162,0.4545454545454545,0.3055555555555556,male,Secondary special education,Household appliances,0,2,0.06,Married,0,1,0
2,0.028716216216216214,0.09090909090909091,0.08333333333333331,female,Higher education,Construction Materials,0,2,0.05,Another,0,1,0
2,0.06925675675675674,0.21212121212121213,0.02777777777777779,male,Incomplete higher education,Cell phones,0,2,0.055,Unmarried,1,1,0
2,0.04560810810810811,0.09090909090909091,0.15277777777777773,male,Secondary special education,Furniture,1,2,0.065,Another,1,0,0
2,0.14020270270270271,0.2727272727272727,0.5,male,Higher education,Windows & Doors,0,0,0.17500000000000002,Another,0,1,0
2,0.05912162162162162,0.2727272727272727,0.20833333333333331,male,Secondary special education,Cell phones,1,2,0.015000000000000001,Another,1,1,0
2,0.16554054054054054,0.0,0.375,male,Higher education,Household appliances,0,2,0.25,Married,3,1,0
2,0.030405405405405407,0.2727272727272727,0.33333333333333326,female,Secondary special education,Cell phones,1,2,0.05,Another,3,0,0
2,0.08445945945945946,0.09090909090909091,0.33333333333333326,male,Secondary education,Computers,0,2,0.075,Another,1,1,0
2,0.10135135135135134,0.15151515151515152,0.25,male,Secondary special education,Household appliances,0,2,0.15000000000000002,Another,2,1,0
2,0.23986486486486486,0.36363636363636365,0.1111111111111111,female,Higher education,Tourism,1,2,0.15000000000000002,Another,0,0,0
2,0.06587837837837837,0.2727272727272727,0.06944444444444442,male,Higher education,Cell phones,0,1,0.065,Another,1,1,0
2,0.06756756756756757,0.09090909090909091,0.375,male,Secondary special education,Household appliances,1,0,0.08750000000000001,Another,1,0,0
2,0.10979729729729731,0.2727272727272727,0.055555555555555525,female,Secondary special education,Household appliances,0,0,0.0625,Another,0,0,0
2,0.05405405405405405,0.2727272727272727,0.08333333333333331,female,Secondary special education,Cell phones,0,2,0.0575,Another,0,1,1
2,0.08952702702702703,0.2727272727272727,0.1111111111111111,female,Secondary education,Cell phones,0,2,0.075,Another,2,1,1
2,0.11317567567567569,0.2727272727272727,0.20833333333333331,female,Higher education,Furniture,0,2,0.195,Married,0,1,0
2,0.08783783783783783,0.3939393939393939,0.5277777777777777,male,Secondary special education,Cell phones,1,2,0.08,Another,0,1,0
2,0.0,0.09090909090909091,0.19444444444444442,male,Secondary special education,Household appliances,1,2,0.0625,Another,1,0,0
2,0.6266891891891891,0.09090909090909091,0.18055555555555552,female,Secondary special education,Boats,0,2,0.42500000000000004,Another,1,0,0
2,0.008445945945945946,0.09090909090909091,0.19444444444444442,male,Secondary education,Windows & Doors,1,2,0.030000000000000002,Another,0,1,0
2,0.05912162162162162,0.2727272727272727,0.04166666666666663,male,Secondary special education,Computers,1,2,0.0625,Another,0,1,0
